51300052528,dff,277,235
51300086550,dce,284,213
51300096928,bdg,27,263
51300126970,fdc,258,242
51300130900,ffg,213,102
51300145322,daf,205,125
51300145512,cga,60,130
51300162793,cge,219,74
51300183776,gcc,171,141
51300207163,ecc,286,231
51300228599,agc,119,289
51300257593,bec,26,230
51300279532,agb,52,73
51300300901,cea,175,128
51300313284,bca,182,127
51300349356,abe,271,150
51300378437,agc,28,317
51300394893,gbe,47,241
51300398042,cde,61,10
51300437172,gdf,233,25
51300481834,fab,140,199
51300482539,dga,181,192
51300489340,feb,43,70
51300603342,eca,184,165
51300668905,cdf,184,222
51300694072,dgb,229,212
51300706672,fcb,245,253
51300722204,fda,149,120
51300786922,eag,247,270
51300854920,eca,102,165
51300904363,bdg,89,218
51300913993,dfc,25,177
51300921616,gab,184,72
51300982431,ced,47,197
51300990294,eaa,118,238
51300998724,fdc,191,271
51301018188,dgd,71,85
51301034620,add,10,27
51301037720,cdg,161,239
51301094648,efe,120,15
51301112033,fce,40,67
51301118667,fef,159,41
51301127252,dge,80,83
51301134039,fef,114,42
51301153394,geb,283,205
51301190956,ggg,268,291
51301200022,dgb,259,207
51301204087,bdg,101,185
51301243290,dbf,89,57
51301260110,ggd,178,129
51301273111,gdb,46,159
51301299597,fba,249,78
51301327949,dee,200,34
51301363062,ffg,274,110
51301381667,dgb,15,242
51301451515,fbc,184,32
51301452992,ecb,11,195
51301458550,gaa,102,67
51301499001,aff,184,88
51301500080,add,245,26
51301553327,fgg,201,114
51301580213,cef,8,165
51301630439,agb,257,59
51301634310,bbe,19,129
51301641532,bba,90,80
51301723250,cbc,212,266
51301859178,cag,237,134
51301861536,aba,268,255
51301878892,aaf,270,182
51301897521,dgc,30,229
51301908792,daa,23,219
51301947936,gbd,287,258
51301959726,bfc,252,62
51301978397,agd,275,228
51301991224,cag,133,108
51301992344,gdf,249,26
51301997900,aab,210,269
51301999815,efa,226,13
51302044688,aec,113,219
51302049451,bdd,49,66
51302070778,age,246,60
51302097498,ccd,117,23
51302099054,aaa,175,166
51302099183,gfg,177,295
51302117645,ebf,274,179
51302200252,gcb,299,57
51302229789,fdf,233,183
51302295388,cfe,102,142
51302307573,dcf,163,299
51302316980,bda,96,102
51302333885,gac,67,169
51302347392,dab,254,228
51302350486,dbe,209,247
51302350775,bdb,200,184
51302358512,dbb,69,67
51302359362,dge,118,98
51302361762,dgf,17,94
51302373939,aga,250,109
51302420110,bfe,59,241
51302451273,caa,293,30
51302472610,fgd,92,73
51302478529,ced,130,175
51302479526,gfg,107,277
51302495209,ced,227,175
51302502565,bgg,170,249
51302505632,ccb,64,24
51302559052,gea,89,229
51302568841,gca,175,243
51302634745,ffd,178,258
51302642179,bdb,136,184
51302655669,dcd,45,274
51302667381,gdg,60,201
51302688299,cdc,264,250
51302713880,dgg,92,198
51302722817,ggd,138,153
51302729543,feb,7,57
51302740408,aff,170,98
51302772100,gbf,189,118
51302791368,dfa,22,264
51302847556,ecb,11,208
51302867807,dee,13,31
51302869863,bef,248,225
51302888652,gbb,80,286
51302891566,gba,188,9
51302924685,fad,41,95
51303008211,dgb,250,205
51303033055,cff,107,290
51303072094,cfe,176,159
51303122456,fcd,42,260
51303123948,ffc,231,129
51303152761,bcd,4,48
51303181904,dcb,137,191
51303252876,cdc,98,267
51303257410,afa,82,123
51303262967,dgd,5,96
51303271802,fbc,203,37
51303280738,bdg,167,173
51303312686,bfc,51,70
51303332757,fbe,245,108
51303347109,cbg,225,261
51303378458,egb,126,56
51303410456,faa,143,118
51303434213,dfe,34,292
51303434404,bab,242,178
51303469761,gcg,268,166
51303492239,bdd,291,66
51303552834,eed,278,70
51303566286,ged,1,132
